"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\accounts\accounts.controller.spec.ts", "TypeScript", 218, 20, 5, 243
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\accounts\accounts.controller.ts", "TypeScript", 156, 46, 11, 213
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\accounts\accounts.interface.ts", "TypeScript", 8, 1, 2, 11
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\accounts\accounts.module.spec.ts", "TypeScript", 44, 2, 1, 47
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\accounts\accounts.module.ts", "TypeScript", 20, 0, 3, 23
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\accounts\accounts.service.spec.ts", "TypeScript", 236, 30, 7, 273
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\accounts\accounts.service.ts", "TypeScript", 137, 19, 10, 166
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\app.controller.spec.ts", "TypeScript", 18, 0, 5, 23
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\app.controller.ts", "TypeScript", 10, 0, 3, 13
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\app.module.spec.ts", "TypeScript", 29, 2, 2, 33
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\app.module.ts", "TypeScript", 15, 0, 2, 17
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\app.service.spec.ts", "TypeScript", 28, 2, 1, 31
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\app.service.ts", "TypeScript", 7, 0, 2, 9
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\asks\asks.controller.spec.ts", "TypeScript", 86, 0, 5, 91
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\asks\asks.controller.ts", "TypeScript", 33, 3, 3, 39
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\asks\asks.interface.ts", "TypeScript", 11, 1, 2, 14
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\asks\asks.module.spec.ts", "TypeScript", 30, 2, 1, 33
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\asks\asks.module.ts", "TypeScript", 14, 0, 3, 17
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\asks\asks.service.spec.ts", "TypeScript", 205, 31, 11, 247
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\asks\asks.service.ts", "TypeScript", 109, 20, 7, 136
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\dto\dto.accounts.ts", "TypeScript", 9, 0, 0, 9
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\dto\dto.asks.ts", "TypeScript", 11, 0, 1, 12
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\dto\dto.gives.ts", "TypeScript", 10, 0, 1, 11
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\dto\dto.notes.ts", "TypeScript", 8, 0, 1, 9
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\dto\dto.reports.ts", "TypeScript", 6, 0, 1, 7
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\dto\dto.thanks.ts", "TypeScript", 7, 0, 0, 7
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\gives\gives.controller.spec.ts", "TypeScript", 53, 0, 5, 58
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\gives\gives.controller.ts", "TypeScript", 19, 0, 2, 21
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\gives\gives.interface.ts", "TypeScript", 11, 1, 3, 15
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\gives\gives.module.spec.ts", "TypeScript", 21, 2, 1, 24
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\gives\gives.module.ts", "TypeScript", 10, 0, 2, 12
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\gives\gives.service.spec.ts", "TypeScript", 267, 39, 15, 321
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\gives\gives.service.ts", "TypeScript", 125, 18, 5, 148
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\main.ts", "TypeScript", 7, 0, 2, 9
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\notes\notes.controller.spec.ts", "TypeScript", 74, 2, 5, 81
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\notes\notes.controller.ts", "TypeScript", 35, 4, 2, 41
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\notes\notes.interface.ts", "TypeScript", 9, 1, 2, 12
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\notes\notes.module.spec.ts", "TypeScript", 23, 2, 1, 26
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\notes\notes.module.ts", "TypeScript", 9, 0, 2, 11
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\notes\notes.service.spec.ts", "TypeScript", 184, 24, 10, 218
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\notes\notes.service.ts", "TypeScript", 137, 23, 7, 167
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\notes\notesConversation.interface.ts", "TypeScript", 16, 1, 2, 19
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\reports\reports.controller.spec.ts", "TypeScript", 35, 0, 4, 39
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\reports\reports.controller.ts", "TypeScript", 14, 0, 4, 18
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\reports\reports.interface.ts", "TypeScript", 7, 0, 1, 8
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\reports\reports.module.spec.ts", "TypeScript", 29, 2, 1, 32
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\reports\reports.module.ts", "TypeScript", 15, 0, 2, 17
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\reports\reports.service.spec.ts", "TypeScript", 60, 4, 8, 72
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\reports\reports.service.ts", "TypeScript", 173, 7, 6, 186
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\reports\reportsCommunication.interface.ts", "TypeScript", 38, 0, 2, 40
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\reports\reportsbyZip.interface.ts", "TypeScript", 23, 0, 1, 24
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\thanks\thanks.controller.spec.ts", "TypeScript", 57, 0, 5, 62
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\thanks\thanks.controller.ts", "TypeScript", 23, 0, 3, 26
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\thanks\thanks.interface.ts", "TypeScript", 7, 1, 2, 10
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\thanks\thanks.module.spec.ts", "TypeScript", 23, 2, 1, 26
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\thanks\thanks.module.ts", "TypeScript", 9, 0, 2, 11
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\thanks\thanks.service.spec.ts", "TypeScript", 167, 24, 10, 201
"c:\Users\colin\OneDrive\Documents\Repos\Summer-CS445\rest-api\src\thanks\thanks.service.ts", "TypeScript", 85, 18, 4, 107
"Total", "-", 3230, 354, 212, 3796